outcome,outcome_label,cohort,window,n_treated_states,n_control_states,treated_change,control_change,att
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2011,2,1,21,3.2720521366058,0.19283951902450092,3.079212617581299
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2011,3,1,21,2.268266358984836,0.3122890402624092,1.955977318722427
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2011,5,1,21,1.9595988042407608,0.7825543415241745,1.1770444627165864
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2015,2,2,21,1.1548510896574058,0.27854436671685256,0.8763067229405532
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2015,3,2,21,1.2533072365475366,0.4771565379848104,0.7761506985627262
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2015,5,2,21,1.5427054005770726,0.6504576522515304,0.8922477483255422
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2016,2,2,21,-0.32187243023467715,0.17920521259876843,-0.5010776428334456
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2016,3,2,21,0.6314152662125281,0.3817998265350262,0.24961543967750188
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2016,5,2,21,0.6710159091402907,0.4152877915492663,0.25572811759102443
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2017,2,3,21,0.8770879771636366,0.38668722234773956,0.49040075481589707
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2017,3,3,21,0.5425424700721777,0.40519933281130704,0.13734313726087066
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2017,5,3,21,0.5458249398541248,0.2522738323225049,0.29355110753161995
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2019,2,3,21,-0.054161550256649704,-0.442745846803442,0.3885842965467923
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2019,3,3,21,0.3305636098284719,-0.383066117870416,0.7136297276988879
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2019,5,3,21,0.31606590649099786,-0.2940795556074436,0.6101454620984414
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2021,2,5,21,-0.5589216021743182,-0.1294049316909538,-0.4295166704833644
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2021,3,5,21,-0.6730926646411062,-0.27979970873898186,-0.3932929559021243
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2021,5,5,21,-0.6252933824367313,-0.4523344601998245,-0.1729589222369068
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2022,2,3,21,0.08934893773421226,0.2726008835140812,-0.18325194577986892
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2022,3,3,21,-0.14345010057318586,-0.1765877653791481,0.03313766480596225
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2022,5,3,21,-0.3686802994567433,-0.393710088741952,0.025029789285208714
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2023,2,3,21,-0.11650591409049849,-0.306251669497529,0.18974575540703054
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2023,3,3,21,-0.2725484047872957,-0.20607758228383055,-0.06647082250346514
