outcome,outcome_label,specification,coef_post_permitless,se_post_permitless,p_post_permitless,nobs,r2,interpretation_flag,excluded_state
total_suicide_rate_per_100k,Total Suicide,leave_one_adopter_out,1.6969821983269144,0.3093638752108565,4.1255299929660046e-08,1274.0,0.9330052545245099,positive_p05,Arizona
total_suicide_rate_per_100k,Total Suicide,leave_one_adopter_out,1.5746779273547014,0.32107426321027055,9.371139923042523e-07,1274.0,0.9341325693103731,positive_p05,Florida
total_suicide_rate_per_100k,Total Suicide,leave_one_adopter_out,1.5927228839891248,0.32243052160173,7.822688254142545e-07,1274.0,0.9327899865687722,positive_p05,Georgia
total_suicide_rate_per_100k,Total Suicide,leave_one_adopter_out,1.5509882034237843,0.3270315791218205,2.1096638080766657e-06,1274.0,0.9327000892895287,positive_p05,Idaho
total_suicide_rate_per_100k,Total Suicide,leave_one_adopter_out,1.5761509970063856,0.32109884569828506,9.172127591895237e-07,1274.0,0.9327546676431194,positive_p05,Indiana
total_suicide_rate_per_100k,Total Suicide,leave_one_adopter_out,1.578629252136889,0.3216769478944055,9.224519574543898e-07,1274.0,0.9331476853063733,positive_p05,Iowa
total_suicide_rate_per_100k,Total Suicide,leave_one_adopter_out,1.5572561077931875,0.3299425273746742,2.360999716233189e-06,1274.0,0.9331543807347983,positive_p05,Kansas
total_suicide_rate_per_100k,Total Suicide,leave_one_adopter_out,1.6236577729993544,0.32232452699615793,4.7204937041066205e-07,1274.0,0.9330864362949747,positive_p05,Kentucky
total_suicide_rate_per_100k,Total Suicide,leave_one_adopter_out,1.5976556507783075,0.3194359880769569,5.688914863617237e-07,1274.0,0.9329731556944081,positive_p05,Louisiana
total_suicide_rate_per_100k,Total Suicide,leave_one_adopter_out,1.5562647916687598,0.33085455159621235,2.5539687840519696e-06,1274.0,0.9337230295131166,positive_p05,Maine
total_suicide_rate_per_100k,Total Suicide,leave_one_adopter_out,1.726643778527022,0.2922204310011744,3.4481142500918556e-09,1274.0,0.9347866242070471,positive_p05,Mississippi
total_suicide_rate_per_100k,Total Suicide,leave_one_adopter_out,1.5694496438508667,0.3275315431717522,1.6533190271002313e-06,1274.0,0.9327268438267814,positive_p05,Missouri
total_suicide_rate_per_100k,Total Suicide,leave_one_adopter_out,1.5253410698114664,0.32121064054297843,2.0470284095900974e-06,1274.0,0.9299011290885998,positive_p05,Montana
total_suicide_rate_per_100k,Total Suicide,leave_one_adopter_out,1.599890416054553,0.3191288024465451,5.350264202253546e-07,1274.0,0.9333770580203683,positive_p05,Nebraska
