outcome,outcome_label,specification,coef_post_permitless,se_post_permitless,p_post_permitless,nobs,r2,interpretation_flag,placebo_shift
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,placebo_never_treated,-0.2332846840023003,0.2090950249375274,0.2645559673113953,546.0,0.8897092837980626,not_p05,6
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,placebo_never_treated,-0.2374651735031637,0.19585172976111714,0.22533090470546593,546.0,0.8897632973987821,not_p05,7
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,placebo_never_treated,0.08398982539813304,0.17756586772414487,0.6362084783924833,546.0,0.8886594458848823,not_p05,8
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,placebo_never_treated,-0.03809766302884385,0.1348084387896402,0.7774789408399357,546.0,0.8885341293189903,not_p05,9
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,placebo_never_treated,0.13858560677987197,0.12225948332999095,0.25698895376915126,546.0,0.8889333003048333,not_p05,10
total_suicide_rate_per_100k,Total Suicide,placebo_never_treated,0.09859245724945603,0.2260139882331462,0.6626750792496686,546.0,0.9533820457743959,not_p05,0
total_suicide_rate_per_100k,Total Suicide,placebo_never_treated,-0.12609201151321184,0.25953574467946205,0.6270828919193048,546.0,0.953405439124583,not_p05,1
total_suicide_rate_per_100k,Total Suicide,placebo_never_treated,0.07744997447414537,0.31370273938227183,0.8049935896655462,546.0,0.9533648594673145,not_p05,2
total_suicide_rate_per_100k,Total Suicide,placebo_never_treated,0.08963148513247493,0.3064179637664482,0.7698938047876022,546.0,0.9533742406271795,not_p05,3
total_suicide_rate_per_100k,Total Suicide,placebo_never_treated,0.39348184534513836,0.2912531581914796,0.17669672102595926,546.0,0.9539941836537285,not_p05,4
total_suicide_rate_per_100k,Total Suicide,placebo_never_treated,0.18616385235436014,0.22394633218685847,0.4058110685885434,546.0,0.953485454242838,not_p05,5
total_suicide_rate_per_100k,Total Suicide,placebo_never_treated,-0.17911557069603,0.25816526401601547,0.4878064023191982,546.0,0.9534756083176831,not_p05,6
total_suicide_rate_per_100k,Total Suicide,placebo_never_treated,-0.18746607168794183,0.27545617472026845,0.4961462278637976,546.0,0.953489668428984,not_p05,7
