GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "22000","Louisiana",5,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",673711,716260,745838,770346,823042,870262,919225,991590,1065603,1096792,1155673,1243759,1299662,1371242,1455137,1524860,1722602,1886940,2071239,2034728,2128227,2209811,2335947,2476789,2768146,2795320,2822924,3049179,3119417,3052006,2786283,3050749,3235067,3444567,3697863
 "22000","Louisiana",5,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",-110807,-126492,-124464,-128651,-148157,-176421,-203885,-218457,-236281,-216713,-229986,-272042,-299177,-349136,-382865,-361640,-425326,-453337,-498343,-485707,-515711,-416017,-349923,-410027,-561568,-579681,-735957,-954184,-891184,-712959,-560699,-813522,-754531,-756456,-784449
 "23000","Maine",1,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",406130,410007,448353,482099,528964,587403,637634,716535,794684,874995,1007624,1010892,998181,1007727,1070609,1103783,1169711,1202128,1204638,1187237,1247897,1346926,1406148,1452025,1536483,1626298,1681266,1728959,1805494,1900788,1937217,2210902,2298335,2429491,2540790
 "23000","Maine",1,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",335304,321826,316334,290833,278110,269585,266413,271746,276003,290607,306465,298471,321205,350827,387968,414205,447310,479288,499052,499636,518648,550837,574466,581859,608401,640827,678570,709226,736317,774153,799142,877554,945092,1013839,1075139
 "23000","Maine",1,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",70826,88181,132019,191266,250854,317818,371221,444789,518681,584388,701159,712421,676976,656900,682641,689578,722401,722840,705586,687601,729249,796089,831682,870166,928082,985471,1002696,1019733,1069177,1126635,1138075,1333348,1353243,1415652,1465651
 "24000","Maryland",2,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",16462974,17202308,18385788,18956768,19594343,20026983,20725772,21842124,23273264,25676785,27988508,29506069,30763025,32572760,34795419,36793776,37466925,39036657,39887201,39822572,41360143,42859750,43088613,42517440,43350372,44443652,45891110,47728495,50243916,51881331,53121139,55828589,58643219,61951215,65288659
 "24000","Maryland",2,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",4348167,4542537,4967132,5318061,5558856,6024226,6350023,7534549,7604962,8929943,8998442,9638558,10524294,11466458,12243170,13179400,14514948,15420376,16807253,16586866,17722747,19576891,20142843,19598298,21264607,22031240,23315727,24691877,25674639,25499027,25111869,28628171,30035231,31503251,34680968
 "24000","Maryland",2,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",12114807,12659771,13418656,13638707,14035487,14002757,14375749,14307575,15668302,16746842,18990066,19867511,20238731,21106302,22552249,23614376,22951977,23616281,23079948,23235706,23637396,23282859,22945770,22919142,22085765,22412412,22575383,23036618,24569277,26382304,28009270,27200418,28607988,30447964,30607691
 "25000","Massachusetts",1,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",2774609,2766724,2946619,3068892,3217624,3434433,3643550,3960966,4447166,4743382,5214991,5479058,5612308,5882715,6302716,6660355,7107497,7540713,7774986,7548139,7953198,8526042,8937205,9211395,9687947,10105358,10292586,10693039,11021395,11303167,11511542,12400049,13110487,13595998,14233185
 "25000","Massachusetts",1,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",4848453,5004045,5292148,5630306,5981966,6260881,6737432,7362966,8048995,8928735,10264895,10675881,10702763,10977215,11893002,12089927,12806404,13650237,13851970,13019880,13948838,15174064,16316561,16553374,16627653,17856039,18594947,19530769,20681181,23059709,23285850,24145773,25157143,25012587,26124514
 "25000","Massachusetts",1,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",-2073844,-2237321,-2345529,-2561414,-2764342,-2826448,-3093882,-3402000,-3601829,-4185353,-5049904,-5196823,-5090455,-5094500,-5590286,-5429572,-5698907,-6109524,-6076984,-5471741,-5995640,-6648022,-7379356,-7341979,-6939706,-7750681,-8302361,-8837730,-9659786,-11756542,-11774308,-11745724,-12046656,-11416589,-11891329
 "26000","Michigan",3,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",1321747,1376057,1525812,1654033,1856333,1967184,2075458,2261921,2448939,2647068,2836541,2847110,2927392,3021972,3170216,3273321,3419286,3514411,3474736,3223561,3391897,3691659,4005576,4114549,4359160,4549732,4763804,4922590,5250211,5443150,5308503,6083083,6363449,6395165,6531786
 "26000","Michigan",3,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",863726,888447,973653,1026420,1102761,1170369,1252955,1352700,1456089,1566584,1738481,1658470,1711909,1751410,1803430,1830546,1789363,1838344,1793237,1707193,1813335,1967604,2097336,2201820,2291171,2425392,2499262,2602657,2718884,2795897,2664630,2829805,3022695,3183260,3304293
 "26000","Michigan",3,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",458021,487610,552159,627613,753572,796815,822503,909221,992850,1080484,1098060,1188640,1215483,1270562,1366786,1442775,1629923,1676067,1681499,1516368,1578562,1724055,1908240,1912729,2067989,2124340,2264542,2319933,2531327,2647253,2643873,3253278,3340754,3211905,3227493
 "27000","Minnesota",4,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",728059,804597,911091,991009,1074777,1145029,1237733,1333680,1481878,1590063,1751769,1838634,1893401,1974714,2088483,2189679,2336286,2501595,2610726,2612075,2751405,3012264,3307033,3464003,3674188,3790551,3789343,3890414,4086154,4205572,4218615,4534022,4907891,5187013,5431512
 "27000","Minnesota",4,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",1199175,1280058,1420374,1506359,1636055,1755085,1922729,2100666,2329093,2541262,2788528,2922528,3006207,3155715,3347778,3511189,3612262,3894756,4032293,3759871,3857133,4154936,4234239,4353572,4594576,4814605,4986757,5226783,5405731,5703611,5654020,6223342,6508981,6837600,7112165
 "27000","Minnesota",4,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",-471116,-475461,-509283,-515350,-561278,-610056,-684996,-766986,-847215,-951199,-1036759,-1083894,-1112806,-1181001,-1259295,-1321510,-1275976,-1393161,-1421567,-1147796,-1105728,-1142672,-927206,-889569,-920388,-1024054,-1197414,-1336369,-1319577,-1498039,-1435405,-1689320,-1601090,-1650587,-1680653
 "28000","Mississippi",5,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",1373998,1466103,1579815,1667514,1811311,1946286,2073648,2253571,2473709,2633219,2800261,2962335,3088145,3245251,3463908,3664720,3972496,4267372,4513154,4382307,4469424,4692197,4987111,5054620,5209460,5357563,5437342,5588683,5886301,6201427,6221609,6698687,7204661,7583861,7859232
 "28000","Mississippi",5,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",624987,662058,756950,828054,973793,1026241,1112088,1141554,1285995,1346693,1322444,1421644,1502725,1576254,1683893,1766910,1858379,1997205,2101967,2015005,2040162,2041174,2134622,2061979,2155367,2174831,2213325,2271608,2376670,2446272,2534248,2774917,2953682,3102091,3229633
 "28000","Mississippi",5,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",749011,804045,822865,839460,837518,920045,961560,1112017,1187714,1286526,1477817,1540691,1585420,1668997,1780015,1897810,2114117,2270167,2411187,2367302,2429262,2651023,2852489,2992641,3054093,3182732,3224017,3317075,3509631,3755155,3687361,3923770,4250979,4481770,4629599
 "29000","Missouri",4,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",2721990,2906198,3193472,3421040,3711849,3914130,4148907,4469454,4803705,5222918,5659135,5856527,5999917,6186078,6515609,6793846,7196382,7642820,7887438,7497271,7875193,8549446,8922413,9039038,9372998,9851951,9897859,10279452,10669229,11057861,11291582,12088599,12682730,13384667,14290633
