State,State Code,Year,cancer_deaths,cancer_population,cancer_rate_per_100k,cardiovascular_deaths,cardiovascular_population,cardiovascular_rate_per_100k,motor_vehicle_deaths,motor_vehicle_population,motor_vehicle_rate_per_100k
New York,36,2022,32655,19677151,165.9539025746156,54320,19677151,276.0562237897143,1384,19677151,7.033538544274017
New York,36,2023,32279,19571216,164.93098844752416,52324,19571216,267.35180890139884,1282,19571216,6.550436109846215
New York,36,2024,32546,19867248,163.81735406937085,51593,19867248,259.688709780036,1348,19867248,6.7850363573253825
North Carolina,37,1999,15815,7949361,198.94680842900453,26617,7949361,334.8319443537663,1597,7949361,20.089665068676588
North Carolina,37,2000,15786,8049313,196.11611574801478,27376,8049313,340.10355914846394,1693,8049313,21.03285087808115
North Carolina,37,2001,16065,8210122,195.67309718418312,26051,8210122,317.3034456735235,1647,8210122,20.06060324073138
North Carolina,37,2002,16210,8326201,194.68662839150772,25623,8326201,307.73938798739067,1690,8326201,20.297372114845654
North Carolina,37,2003,16145,8422501,191.6889057062742,25771,8422501,305.9779986965867,1662,8422501,19.73285607208595
North Carolina,37,2004,16477,8553152,192.64243170237123,24475,8553152,286.1518186511826,1691,8553152,19.770489288627164
North Carolina,37,2005,16724,8705407,192.11048949233506,24531,8705407,281.79038613588085,1666,8705407,19.137531421563633
North Carolina,37,2006,17318,8917270,194.20741998391884,23625,8917270,264.93534456173245,1704,8917270,19.108987391881147
North Carolina,37,2007,17478,9118037,191.68599557119586,23637,9118037,259.2334293006269,1818,9118037,19.938502113996687
North Carolina,37,2008,17453,9309449,187.47618682910235,23626,9309449,253.78515957281684,1563,9309449,16.789393228321032
North Carolina,37,2009,17513,9449566,185.33126283259992,23379,9449566,247.40818784693394,1404,9449566,14.857825216523171
North Carolina,37,2010,18061,9535483,189.40833935732465,23231,9535483,243.62688287525654,1383,9535483,14.503722569690492
North Carolina,37,2011,18284,9656401,189.34590640964475,22885,9656401,236.9930577655174,1263,9656401,13.079407120727485
North Carolina,37,2012,18405,9752073,188.7291040581833,23527,9752073,241.25127037092523,1336,9752073,13.699651345924094
North Carolina,37,2013,18589,9848060,188.75798888308967,24084,9848060,244.55578052936315,1359,9848060,13.799672219706217
North Carolina,37,2014,19342,9943964,194.5099559893821,24096,9943964,242.31785231724493,1393,9943964,14.008498019502081
North Carolina,37,2015,19322,10042802,192.3965044815182,25344,10042802,252.3598493727149,1518,10042802,15.115303478053235
North Carolina,37,2016,19523,10146788,192.40571499079314,25117,10146788,247.53646178475395,1541,10146788,15.18707200741752
North Carolina,37,2017,19474,10273419,189.55714743066548,25777,10273419,250.90965334909438,1520,10273419,14.795463905443748
North Carolina,37,2018,19671,10383620,189.44260286874905,26269,10383620,252.98498982050575,1584,10383620,15.254795533734862
North Carolina,37,2019,19951,10488084,190.22540246626554,26831,10488084,255.82365663738008,1602,10488084,15.274477206704294
