State,Year,share_age_under18,share_age_18_34,share_age_35_64,share_age_65plus,share_white_nonhispanic,share_black_nonhispanic,share_asian_nonhispanic,share_hispanic,poverty_rate,mental_health_provider_count,mental_health_access_population,mental_health_provider_rate_per_100k,phase3b2_demographic_poverty_complete,phase3b2_full_complete
Iowa,2020,0.23253688884320686,0.22324773490109023,0.3697661745438387,0.17444920171186418,0.8432002847884189,0.03968455170110002,0.02657043358472722,0.06801423064665585,10.2,,,,True,False
Iowa,2021,0.23050334629415936,0.22396113565473535,0.3678585061712686,0.17767701187983667,0.8392468860721819,0.040843328029993,0.026705950360359318,0.06979587715050242,11.0,9854.0,3179090.0,309.962914,True,True
Iowa,2022,0.22905470803854103,0.22452370098850388,0.3648987454805453,0.18152284549240982,0.8347212768747542,0.04177068957980779,0.026809186904040813,0.07249736170000187,11.0,9875.0,3188836.0,309.674126,True,True
Iowa,2023,0.22749186400506585,0.22548901415417655,0.36161600092467905,0.18540312091607855,0.8286230422810739,0.043228434875065794,0.02753374798891628,0.0754275242402003,11.1,10340.0,3195937.0,323.535789,True,True
Iowa,2024,0.22538260206423716,0.22715431925091192,0.35854397733386645,0.1889191013509845,0.8214492850197194,0.0449420142847976,0.02868034680369016,0.07870613742824283,11.2,,,,True,False
Kansas,2005,0.25710722220056903,0.2309456274161758,0.38191213416097847,0.1300350162222767,0.8078107339127724,0.056320641212487234,0.02130441893578805,0.0876593041413704,11.7,,,,True,False
Kansas,2006,0.2555387014731819,0.2312070768325376,0.3831720734249245,0.130082148269356,0.8030265685245126,0.056720200395883935,0.021672636775945546,0.09107248787609969,12.2,,,,True,False
Kansas,2007,0.2556889271261969,0.23035830712501146,0.3837300653606511,0.1302227003881406,0.7979969717488958,0.05675581986396219,0.02222226213590489,0.09471097803889308,11.2,,,,True,False
Kansas,2008,0.2553928739820432,0.23173532340292785,0.38206159662345324,0.13081020599157572,0.7922841119684795,0.05720963392728687,0.02276505336750145,0.09855288816969342,11.3,,,,True,False
Kansas,2009,0.2556459128804139,0.23212231140281514,0.3808721278326292,0.13135964788414178,0.7870179870540657,0.0571955276654391,0.023352951808589956,0.10221788086577348,13.2,,,,True,False
Kansas,2010,0.2545278655372806,0.2338095088150193,0.3797399752990529,0.13192265034864722,0.7819658595124886,0.05738316906853638,0.023873150490345288,0.10571270629314357,13.5,,,,True,False
Kansas,2011,0.25322412846674625,0.23473586072894248,0.37916231735050404,0.1328776934538072,0.7788001986599169,0.05752947224424714,0.024815760353405537,0.10746037693105281,13.8,,,,True,False
Kansas,2012,0.25175434978582495,0.2364122156189206,0.37529100527266723,0.1365424293225872,0.7752536429163849,0.057977157667410566,0.025614356017505547,0.10938644287146691,14.0,,,,True,False
Kansas,2013,0.25032351587094204,0.23690037231976088,0.37307324869383923,0.13970286311545785,0.7720298408827283,0.058079394112840674,0.02653521414953346,0.11118853371270408,13.9,,,,True,False
Kansas,2014,0.24904438066178816,0.23700393900998976,0.3710081969332609,0.14294348339496116,0.7685475654849637,0.05814806195536938,0.02743964350666701,0.11328351390720486,13.5,,,,True,False
Kansas,2015,0.24774055512337353,0.23661890587557077,0.36959124595953746,0.14604929304151823,0.7648217899485427,0.0582084426631594,0.028817010317252152,0.1151807263705775,12.9,,,,True,False
Kansas,2016,0.24628595692520794,0.23542622002415795,0.36840242898623216,0.14988539406440193,0.7617728741217324,0.05793577395422084,0.02984392155677185,0.11705917596408465,12.2,,,,True,False
Kansas,2017,0.24473221536085657,0.23378340561030667,0.36747907497392324,0.15400530405491353,0.7595672732798435,0.05762022994322585,0.030024223730179413,0.11887745735406458,11.9,,,,True,False
Kansas,2018,0.24232531955007952,0.2333954692636669,0.3658799893795303,0.15839922180672325,0.7567909007442916,0.057454267920926276,0.030601859818730703,0.12069208915836213,11.9,,,,True,False
Kansas,2019,0.24036200697899368,0.23240955145926598,0.36401671773107874,0.16321172383066157,0.7540769721355131,0.05743459167120331,0.031082128462637394,0.1222226646355319,11.3,,,,True,False
Kansas,2020,0.24250043904849683,0.2302057197468358,0.3653754783586529,0.16191836284601446,0.7449638754980988,0.05767701822765992,0.03090799313314537,0.13049814646657854,10.6,,,,True,False
Kansas,2021,0.2399526535068464,0.2305207910049831,0.3638073632100868,0.16571919227808374,0.7422947938596581,0.05766695322321666,0.03099881633767116,0.13264028848961557,11.6,10075.0,2932099.0,343.610499,True,True
Kansas,2022,0.2380748599745891,0.2302228150520678,0.3616550302247896,0.17004729474855346,0.7395806523216369,0.057538085686155156,0.03117122932301646,0.13481897128134315,11.9,9931.0,2935922.0,338.258305,True,True
Kansas,2023,0.23609994917838387,0.23090394714551923,0.3589574792478401,0.17403862442825682,0.7346711841436557,0.05753481280704727,0.032018973403354224,0.1384191089276639,11.2,10425.0,2937569.0,354.885281,True,True
Kansas,2024,0.233144011693237,0.23280165730494048,0.35625323587173796,0.17780109513008457,0.7291128476815841,0.057579160615712756,0.03323530619678274,0.1422097040132552,10.9,,,,True,False
Kentucky,2005,0.23997956364509213,0.23162805642805606,0.40219119419749055,0.12620118572936126,0.8789683896353158,0.07509882273398646,0.009631959131115427,0.022769274318138674,16.9,,,,True,False
Kentucky,2006,0.2392397775997046,0.227999219764512,0.405182308942442,0.12757869369334138,0.8763625383629607,0.07526452045025181,0.009997774480184697,0.02421763735119058,17.0,,,,True,False
Kentucky,2007,0.23841620871892408,0.22721398313048316,0.4056199303117553,0.12874987783883748,0.872866173386157,0.07584986581066147,0.010331075544462904,0.026057680742138458,17.2,,,,True,False
