State,State Code,Year,population,firearm_suicide_deaths,firearm_suicide_rate_per_100k,total_suicide_deaths,total_suicide_rate_per_100k,nonfirearm_suicide_deaths,nonfirearm_suicide_rate_per_100k,unemployment_rate,income_pc,gun_ownership,mean_rucc_2013,share_nonmetro_counties_2013,rep_vote_share_2party,permitless_year,ever_adopter,post_permitless,years_since_permitless
Indiana,18,2008,6424806,450,7.004102536325611,813,12.654078582294938,363,5.649976045969327,5.933333333333334,35270.0,0.374,3.978260869565217,0.5217391304347826,0.4947804655462191,2022.0,1,0,-14.0
Indiana,18,2009,6459325,458,7.0905241646766495,830,12.84963986175026,372,5.759115697073611,10.158333333333331,34200.0,0.4,3.978260869565217,0.5217391304347826,0.4947804655462191,2022.0,1,0,-13.0
Indiana,18,2010,6483802,455,7.017487579046985,865,13.340937925001413,410,6.323450345954428,9.975,35590.0,0.391,3.978260869565217,0.5217391304347826,0.4947804655462191,2022.0,1,0,-12.0
Indiana,18,2011,6516922,411,6.306658265972801,884,13.564685905401353,473,7.258027639428552,8.908333333333333,37681.0,0.351,3.978260869565217,0.5217391304347826,0.4947804655462191,2022.0,1,0,-11.0
Indiana,18,2012,6537334,513,7.847235585637815,944,14.440137218015783,431,6.59290163237797,8.216666666666667,39148.0,0.432,3.978260869565217,0.5217391304347826,0.5520037459732731,2022.0,1,0,-10.0
Indiana,18,2013,6570902,523,7.959333437022802,946,14.396805796220976,423,6.437472359198174,7.508333333333333,39435.0,0.406,3.978260869565217,0.5217391304347826,0.5520037459732731,2022.0,1,0,-9.0
Indiana,18,2014,6596855,528,8.003813938611657,949,14.385642855572844,421,6.381828916961188,5.95,40719.0,0.424,3.978260869565217,0.5217391304347826,0.5520037459732731,2022.0,1,0,-8.0
Indiana,18,2015,6619680,517,7.810045198559448,962,14.532424528073864,445,6.722379329514417,4.8,42146.0,0.394,3.978260869565217,0.5217391304347826,0.5520037459732731,2022.0,1,0,-7.0
Indiana,18,2016,6633053,591,8.909924283734805,1036,15.618750521064731,445,6.708826237329928,4.391666666666667,43143.0,0.424,3.978260869565217,0.5217391304347826,0.6011730952450807,2022.0,1,0,-6.0
Indiana,18,2017,6666818,604,9.059794342668422,1093,16.394627841947987,489,7.334833499279565,3.525,44568.0,0.424,3.978260869565217,0.5217391304347826,0.6011730952450807,2022.0,1,0,-5.0
Indiana,18,2018,6691878,588,8.786771067852701,1080,16.138967267484556,492,7.352196199631855,3.4333333333333336,46555.0,0.424,3.978260869565217,0.5217391304347826,0.6011730952450807,2022.0,1,0,-4.0
Indiana,18,2019,6732219,570,8.466747739489758,974,14.467740874145656,404,6.000993134655898,3.3166666666666664,48270.0,0.424,3.978260869565217,0.5217391304347826,0.6011730952450807,2022.0,1,0,-3.0
Indiana,18,2020,6754953,609,9.015606770320977,1027,15.20365870791403,418,6.188051937593054,7.383333333333333,51775.0,0.424,3.978260869565217,0.5217391304347826,0.5819504800744296,2022.0,1,0,-2.0
Indiana,18,2021,6805985,695,10.211600525126046,1133,16.647112798514836,438,6.43551227338879,3.891666666666667,57374.0,0.424,3.978260869565217,0.5217391304347826,0.5819504800744296,2022.0,1,0,-1.0
