State,Year,rep_vote_share_2party
Washington,2008,0.4124797319789105
Washington,2012,0.42371701729378153
Washington,2016,0.4121306879993523
Washington,2020,0.4007449681520931
West Virginia,2000,0.5324207401593741
West Virginia,2004,0.5647971062974548
West Virginia,2008,0.5667374376713725
West Virginia,2012,0.6367429763204273
West Virginia,2016,0.7216105225129578
West Virginia,2020,0.6979853231392202
Wisconsin,2000,0.49884931696842194
Wisconsin,2004,0.4980819672573075
Wisconsin,2008,0.42944321752181586
Wisconsin,2012,0.4653657001712759
Wisconsin,2016,0.5040798903802971
Wisconsin,2020,0.4968093673346601
Wyoming,2000,0.7098230564031704
Wyoming,2004,0.7031270317317171
Wyoming,2008,0.6656202335509591
Wyoming,2012,0.7116063401152143
Wyoming,2016,0.7570531962915379
Wyoming,2020,0.724804343755851
