State,Year,gun_ownership
New Jersey,2012,0.07
New Jersey,2013,0.056
New Jersey,2014,0.097
New Jersey,2015,0.081
New Jersey,2016,0.089
New Mexico,1999,0.446
New Mexico,2000,0.438
New Mexico,2001,0.391
New Mexico,2002,0.431
New Mexico,2003,0.407
New Mexico,2004,0.391
New Mexico,2005,0.406
New Mexico,2006,0.392
New Mexico,2007,0.428
New Mexico,2008,0.357
New Mexico,2009,0.375
New Mexico,2010,0.375
New Mexico,2011,0.366
New Mexico,2012,0.403
New Mexico,2013,0.482
New Mexico,2014,0.356
New Mexico,2015,0.37
New Mexico,2016,0.359
New York,1999,0.197
New York,2000,0.197
New York,2001,0.182
New York,2002,0.177
New York,2003,0.157
New York,2004,0.174
New York,2005,0.192
New York,2006,0.164
New York,2007,0.14
New York,2008,0.142
New York,2009,0.152
New York,2010,0.143
New York,2011,0.158
New York,2012,0.154
New York,2013,0.124
New York,2014,0.126
New York,2015,0.119
New York,2016,0.145
North Carolina,1999,0.417
North Carolina,2000,0.426
North Carolina,2001,0.382
North Carolina,2002,0.397
North Carolina,2003,0.374
North Carolina,2004,0.383
North Carolina,2005,0.375
North Carolina,2006,0.351
North Carolina,2007,0.36
North Carolina,2008,0.345
North Carolina,2009,0.341
North Carolina,2010,0.35
North Carolina,2011,0.406
North Carolina,2012,0.379
North Carolina,2013,0.355
North Carolina,2014,0.334
North Carolina,2015,0.316
North Carolina,2016,0.371
North Dakota,1999,0.56
North Dakota,2000,0.55
North Dakota,2001,0.503
North Dakota,2002,0.517
North Dakota,2003,0.51
North Dakota,2004,0.546
North Dakota,2005,0.546
North Dakota,2006,0.484
North Dakota,2007,0.538
North Dakota,2008,0.586
North Dakota,2009,0.537
North Dakota,2010,0.543
North Dakota,2011,0.541
North Dakota,2012,0.561
North Dakota,2013,0.567
North Dakota,2014,0.57
North Dakota,2015,0.504
North Dakota,2016,0.533
Ohio,1999,0.365
Ohio,2000,0.351
Ohio,2001,0.324
Ohio,2002,0.321
Ohio,2003,0.335
Ohio,2004,0.328
Ohio,2005,0.348
Ohio,2006,0.353
Ohio,2007,0.324
Ohio,2008,0.365
Ohio,2009,0.368
Ohio,2010,0.357
Ohio,2011,0.334
Ohio,2012,0.362
Ohio,2013,0.359
Ohio,2014,0.366
Ohio,2015,0.388
Ohio,2016,0.419
Oklahoma,1999,0.498
Oklahoma,2000,0.558
Oklahoma,2001,0.48
Oklahoma,2002,0.483
Oklahoma,2003,0.467
Oklahoma,2004,0.495
Oklahoma,2005,0.441
Oklahoma,2006,0.468
Oklahoma,2007,0.497
Oklahoma,2008,0.508
Oklahoma,2009,0.508
Oklahoma,2010,0.488
Oklahoma,2011,0.533
Oklahoma,2012,0.563
Oklahoma,2013,0.537
Oklahoma,2014,0.493
Oklahoma,2015,0.487
Oklahoma,2016,0.549
Oregon,1999,0.515
Oregon,2000,0.516
Oregon,2001,0.415
Oregon,2002,0.422
Oregon,2003,0.427
Oregon,2004,0.407
Oregon,2005,0.484
Oregon,2006,0.451
Oregon,2007,0.46
Oregon,2008,0.436
Oregon,2009,0.456
Oregon,2010,0.409
Oregon,2011,0.413
Oregon,2012,0.476
Oregon,2013,0.456
Oregon,2014,0.462
Oregon,2015,0.407
Oregon,2016,0.414
Pennsylvania,1999,0.389
Pennsylvania,2000,0.391
Pennsylvania,2001,0.363
Pennsylvania,2002,0.381
Pennsylvania,2003,0.397
Pennsylvania,2004,0.356
Pennsylvania,2005,0.414
Pennsylvania,2006,0.382
Pennsylvania,2007,0.346
Pennsylvania,2008,0.384
Pennsylvania,2009,0.371
Pennsylvania,2010,0.355
Pennsylvania,2011,0.362
Pennsylvania,2012,0.38
Pennsylvania,2013,0.368
Pennsylvania,2014,0.361
Pennsylvania,2015,0.368
Pennsylvania,2016,0.402
Rhode Island,1999,0.166
Rhode Island,2000,0.153
Rhode Island,2001,0.134
Rhode Island,2002,0.136
Rhode Island,2003,0.074
Rhode Island,2004,0.116
Rhode Island,2005,0.124
Rhode Island,2006,0.129
Rhode Island,2007,0.072
Rhode Island,2008,0.092
Rhode Island,2009,0.145
Rhode Island,2010,0.091
Rhode Island,2011,0.1
Rhode Island,2012,0.109
Rhode Island,2013,0.09
Rhode Island,2014,0.1
Rhode Island,2015,0.151
Rhode Island,2016,0.139
South Carolina,1999,0.468
South Carolina,2000,0.492
South Carolina,2001,0.442
South Carolina,2002,0.466
South Carolina,2003,0.456
South Carolina,2004,0.436
South Carolina,2005,0.394
South Carolina,2006,0.403
South Carolina,2007,0.415
South Carolina,2008,0.42
South Carolina,2009,0.409
South Carolina,2010,0.418
South Carolina,2011,0.466
South Carolina,2012,0.459
South Carolina,2013,0.445
South Carolina,2014,0.42
South Carolina,2015,0.393
South Carolina,2016,0.45
South Dakota,1999,0.494
South Dakota,2000,0.547
South Dakota,2001,0.518
South Dakota,2002,0.564
South Dakota,2003,0.537
South Dakota,2004,0.567
South Dakota,2005,0.504
South Dakota,2006,0.514
South Dakota,2007,0.511
South Dakota,2008,0.51
South Dakota,2009,0.519
South Dakota,2010,0.523
South Dakota,2011,0.479
South Dakota,2012,0.568
South Dakota,2013,0.523
South Dakota,2014,0.5
South Dakota,2015,0.492
South Dakota,2016,0.55
Tennessee,1999,0.503
Tennessee,2000,0.489
Tennessee,2001,0.444
Tennessee,2002,0.468
Tennessee,2003,0.436
Tennessee,2004,0.472
Tennessee,2005,0.467
Tennessee,2006,0.447
Tennessee,2007,0.461
Tennessee,2008,0.495
Tennessee,2009,0.421
Tennessee,2010,0.438
Tennessee,2011,0.491
Tennessee,2012,0.478
Tennessee,2013,0.469
Tennessee,2014,0.427
Tennessee,2015,0.416
Tennessee,2016,0.469
Texas,1999,0.421
Texas,2000,0.417
Texas,2001,0.377
Texas,2002,0.379
Texas,2003,0.362
Texas,2004,0.368
Texas,2005,0.376
Texas,2006,0.363
Texas,2007,0.392
Texas,2008,0.367
Texas,2009,0.357
Texas,2010,0.346
Texas,2011,0.378
Texas,2012,0.426
Texas,2013,0.364
Texas,2014,0.385
Texas,2015,0.336
Texas,2016,0.355
Utah,1999,0.428
Utah,2000,0.505
Utah,2001,0.455
Utah,2002,0.467
Utah,2003,0.401
Utah,2004,0.442
Utah,2005,0.377
Utah,2006,0.378
Utah,2007,0.426
Utah,2008,0.355
Utah,2009,0.396
Utah,2010,0.416
Utah,2011,0.392
Utah,2012,0.423
Utah,2013,0.425
Utah,2014,0.349
Utah,2015,0.35
Utah,2016,0.397
Vermont,1999,0.551
Vermont,2000,0.47
Vermont,2001,0.43
Vermont,2002,0.441
Vermont,2003,0.427
Vermont,2004,0.442
Vermont,2005,0.403
Vermont,2006,0.441
Vermont,2007,0.43
Vermont,2008,0.4
Vermont,2009,0.498
Vermont,2010,0.484
Vermont,2011,0.472
Vermont,2012,0.482
Vermont,2013,0.483
Vermont,2014,0.437
Vermont,2015,0.43
Vermont,2016,0.503
Virginia,1999,0.431
Virginia,2000,0.418
Virginia,2001,0.362
Virginia,2002,0.386
Virginia,2003,0.358
Virginia,2004,0.384
Virginia,2005,0.408
Virginia,2006,0.373
Virginia,2007,0.367
Virginia,2008,0.372
Virginia,2009,0.359
Virginia,2010,0.363
Virginia,2011,0.413
Virginia,2012,0.397
Virginia,2013,0.37
Virginia,2014,0.362
Virginia,2015,0.345
Virginia,2016,0.353
Washington,1999,0.396
Washington,2000,0.402
Washington,2001,0.341
Washington,2002,0.362
Washington,2003,0.383
Washington,2004,0.369
Washington,2005,0.364
Washington,2006,0.359
Washington,2007,0.361
Washington,2008,0.38
Washington,2009,0.366
Washington,2010,0.338
Washington,2011,0.335
Washington,2012,0.339
Washington,2013,0.344
Washington,2014,0.335
Washington,2015,0.318
Washington,2016,0.321
West Virginia,1999,0.573
West Virginia,2000,0.541
West Virginia,2001,0.549
West Virginia,2002,0.58
West Virginia,2003,0.561
West Virginia,2004,0.556
West Virginia,2005,0.631
West Virginia,2006,0.56
West Virginia,2007,0.599
West Virginia,2008,0.575
West Virginia,2009,0.551
West Virginia,2010,0.572
West Virginia,2011,0.622
West Virginia,2012,0.571
West Virginia,2013,0.602
West Virginia,2014,0.547
West Virginia,2015,0.537
West Virginia,2016,0.6
Wisconsin,1999,0.434
Wisconsin,2000,0.466
Wisconsin,2001,0.431
Wisconsin,2002,0.422
Wisconsin,2003,0.445
Wisconsin,2004,0.416
Wisconsin,2005,0.41
Wisconsin,2006,0.425
Wisconsin,2007,0.414
Wisconsin,2008,0.421
Wisconsin,2009,0.432
Wisconsin,2010,0.431
Wisconsin,2011,0.414
Wisconsin,2012,0.44
Wisconsin,2013,0.448
Wisconsin,2014,0.434
Wisconsin,2015,0.434
Wisconsin,2016,0.471
Wyoming,1999,0.58
Wyoming,2000,0.586
Wyoming,2001,0.606
Wyoming,2002,0.644
Wyoming,2003,0.596
Wyoming,2004,0.607
Wyoming,2005,0.592
Wyoming,2006,0.583
Wyoming,2007,0.621
Wyoming,2008,0.64
Wyoming,2009,0.615
Wyoming,2010,0.572
Wyoming,2011,0.539
Wyoming,2012,0.597
Wyoming,2013,0.613
Wyoming,2014,0.608
Wyoming,2015,0.549
Wyoming,2016,0.607
