State,State Code,Year,falls_deaths,falls_population,falls_rate_per_100k,non_transport_injury_excluding_falls_poisoning_deaths,non_transport_injury_excluding_falls_poisoning_population,non_transport_injury_excluding_falls_poisoning_rate_per_100k,accidental_poisoning_deaths,accidental_poisoning_population,accidental_poisoning_rate_per_100k
Hawaii,15,2011,136,1374810,9.892276023595988,135,1374810,9.819538699893076,117.0,1374810.0,8.510266873240667
Hawaii,15,2012,123,1392313,8.834220466231372,97,1392313,6.9668242701174234,99.0,1392313.0,7.1104701313569585
Hawaii,15,2013,118,1404054,8.404235164744376,104,1404054,7.407122518079789,124.0,1404054.0,8.831569156172057
Hawaii,15,2014,149,1419561,10.496202699285202,88,1419561,6.199099580785891,118.0,1419561.0,8.312428983326535
Hawaii,15,2015,143,1431603,9.988802761659482,135,1431603,9.429988621147064,143.0,1431603.0,9.988802761659482
Hawaii,15,2016,155,1428557,10.85010958610682,92,1428557,6.440065044656951,175.0,1428557.0,12.250123726249637
Hawaii,15,2017,163,1427538,11.418259969261763,126,1427538,8.826385006914002,166.0,1427538.0,11.628411993235908
Hawaii,15,2018,182,1420491,12.812471180739617,113,1420491,7.954995842986685,202.0,1420491.0,14.22043504675496
Hawaii,15,2019,167,1415872,11.794851512001085,127,1415872,8.969737377390047,217.0,1415872.0,15.326244180264883
Hawaii,15,2020,171,1407006,12.15346629651899,128,1407006,9.097331496809538,262.0,1407006.0,18.621100407532023
Hawaii,15,2021,174,1441553,12.070315832994,125,1441553,8.671203903012932,246.0,1441553.0,17.064929281129448
Hawaii,15,2022,185,1440196,12.845473810509125,125,1440196,8.679374196289949,255.0,1440196.0,17.705923360431495
Hawaii,15,2023,180,1435138,12.542347843900727,226,1435138,15.747614515119801,294.0,1435138.0,20.485834811704517
Hawaii,15,2024,185,1446146,12.792622598271544,101,1446146,6.984080445542843,319.0,1446146.0,22.058630318100665
Idaho,16,1999,105,1275674,8.230943015221756,125,1275674,9.798741684787807,44.0,1275674.0,3.4491570730453076
Idaho,16,2000,77,1293953,5.950757098596316,106,1293953,8.19195133053519,37.0,1293953.0,2.8594547097151133
