State,State Code,Year,population,firearm_suicide_deaths,firearm_suicide_rate_per_100k,total_suicide_deaths,total_suicide_rate_per_100k,nonfirearm_suicide_deaths,nonfirearm_suicide_rate_per_100k,unemployment_rate,income_pc,gun_ownership,mean_rucc_2013,share_nonmetro_counties_2013,rep_vote_share_2party,permitless_year,ever_adopter,post_permitless,years_since_permitless,firearm_homicide_deaths,firearm_homicide_rate_per_100k,total_firearm_deaths,total_firearm_rate_per_100k,permit_to_purchase,waiting_period,universal_background_check,erpo_red_flag,safe_storage,stand_your_ground,dealer_license,uninsured_under65_pct,drug_overdose_rate_per_100k,share_age_under18,share_age_18_34,share_age_35_64,share_age_65plus,share_white_nonhispanic,share_black_nonhispanic,share_asian_nonhispanic,share_hispanic,poverty_rate,mental_health_provider_count,mental_health_access_population,mental_health_provider_rate_per_100k,phase3b2_demographic_poverty_complete,phase3b2_full_complete,firearm_suicide_ageadj_rate_per_100k,total_suicide_ageadj_rate_per_100k,total_firearm_ageadj_rate_per_100k,firearm_homicide_ageadj_rate_per_100k
Pennsylvania,42,2013,12773801,918,7.186584478652831,1799,14.083513591608323,881,6.896929112955492,7.05,45902.0,0.368,3.6417910447761193,0.4477611940298507,0.4726806599810817,,0,0,,486.0,3.8046623710514975,1451,11.359187449373918,0,1,1,0,0,1,1,11.6,,0.2127420368433481,0.2243312211688055,0.3995488837973471,0.1633778581904993,0.7825561357352895,0.1066401884926233,0.0308958557592807,0.0634801490790493,13.7,,,,True,False,6.7,13.4,11.2,4.1
Pennsylvania,42,2014,12787209,897,7.014822390093101,1829,14.303355798751706,932,7.288533408658606,5.966666666666666,47467.0,0.361,3.6417910447761193,0.4477611940298507,0.4726806599810817,,0,0,,466.0,3.6442667043293024,1390,10.87023759445865,0,1,1,0,0,1,1,10.2,,0.2113854266782491,0.2246941406579585,0.3969912215942791,0.1669292110695132,0.7784238624750582,0.1070250626489983,0.0320065672462036,0.0656846606741639,13.6,,,,True,False,6.3,13.3,10.5,3.9
Pennsylvania,42,2015,12802503,932,7.279826452686635,1910,14.91895764445437,978,7.639131191767735,5.416666666666667,49291.0,0.368,3.6417910447761193,0.4477611940298507,0.4726806599810817,,0,0,,522.0,4.077327691311614,1485,11.599294294248551,0,1,1,0,0,1,1,7.6,,0.2103782249363425,0.2241509583313844,0.3952030320944532,0.1702677846378198,0.7744153107754458,0.1074062329827562,0.0329314610930176,0.0679353790188462,13.1,,,,True,False,6.7,14.0,11.4,4.4
Pennsylvania,42,2016,12784227,976,7.634407618074992,1981,15.49565726578541,1005,7.861249647710418,5.333333333333333,50572.0,0.402,3.6417910447761193,0.4477611940298507,0.5037553580749017,,0,0,,538.0,4.208310756684781,1555,12.163426071830546,0,1,1,0,0,1,1,6.8,,0.2092931813781193,0.2238016315561979,0.3927241433938794,0.1741810436718033,0.7700089381585047,0.1078837687344389,0.0339690704510738,0.0704190764163656,12.9,,,,True,False,7.1,14.7,12.0,4.5
Pennsylvania,42,2017,12805537,993,7.754458091058579,2041,15.938417889074078,1048,8.183959798015499,4.9750000000000005,51886.0,0.402,3.6417910447761193,0.4477611940298507,0.5037553580749017,,0,0,,602.0,4.701091410692109,1636,12.77572350148221,0,1,1,0,0,1,1,6.6,,0.2083476538010411,0.2233085836551088,0.3901709470886773,0.1781728154551727,0.7655616074927346,0.1082761863583752,0.0349976981680984,0.0730428700649322,12.5,,,,True,False,7.1,15.0,12.5,5.1
Pennsylvania,42,2018,12807060,1025,8.003398125721283,2020,15.772550452640964,995,7.769152326919683,4.408333333333333,54468.0,0.402,3.6417910447761193,0.4477611940298507,0.5037553580749017,,0,0,,581.0,4.536560303457624,1654,12.914751707261464,0,1,1,0,0,1,1,6.7,,0.2070648504849885,0.2231160380478843,0.3874182656530521,0.1824008458140749,0.7609334702609702,0.1086032709206415,0.0358912428339146,0.0760617867994196,12.2,,,,True,False,7.3,14.9,12.5,4.9
Pennsylvania,42,2019,12801989,964,7.530079896178632,1907,14.896122782170805,943,7.366042885992171,4.266666666666667,56139.0,0.402,3.6417910447761193,0.4477611940298507,0.5037553580749017,,0,0,,548.0,4.280584837246775,1541,12.037192033206717,0,1,1,0,0,1,1,7.0,32.5,0.205797161675424,0.2227228128379113,0.3845276698800475,0.186952355606617,0.7571931205377539,0.1089385407220706,0.0368348230888184,0.0781245789228533,12.0,,,,True,False,6.8,14.1,11.7,4.7
Pennsylvania,42,2020,12783254,919,7.189092855387211,1708,13.361230247009097,789,6.172137391621885,8.833333333333334,60279.0,0.402,3.6417910447761193,0.4477611940298507,0.4941079474065094,,0,0,,788.0,6.164314657285226,1752,13.705430557821977,0,1,1,0,0,1,1,7.7,37.9,0.2079385399191129,0.2193447702137472,0.3865362207848898,0.18618046908225,0.7524536318198407,0.1086435413953201,0.0380120471127472,0.0811677741619186,10.9,,,,True,False,6.5,12.6,13.6,6.7
Pennsylvania,42,2021,12964056,997,7.6904943946555,1896,14.625052529856395,899,6.934558135200895,5.9,64008.0,0.402,3.6417910447761193,0.4477611940298507,0.4941079474065094,,0,0,,861.0,6.641439993779724,1905,14.69447524756141,0,1,1,0,0,1,1,6.7,39.8,0.2058277735183497,0.2209527342288709,0.383363741782823,0.1898557504699563,0.7486735695268383,0.1085333098332758,0.0390317105565326,0.0834823151439149,12.0,65382.0,12970650.0,504.076511,True,True,7.2,13.9,14.8,7.3
Pennsylvania,42,2022,12972008,1060,8.171441152364384,1974,15.217381919591784,914,7.0459407672274015,4.125,65078.0,0.402,3.6417910447761193,0.4477611940298507,0.4941079474065094,,0,0,,834.0,6.429228227426317,1941,14.962987996923838,0,1,1,0,0,1,1,6.5,37.8,0.2045172926586774,0.219750419522849,0.3810669087923826,0.1946653790260909,0.7439844004500581,0.1084971185961637,0.0402327610571898,0.0865233627442146,11.8,64502.0,12989208.0,496.58147,True,True,7.4,14.2,14.7,7.0
Pennsylvania,42,2023,12961683,1077,8.309106155427502,1996,15.399234806159049,919,7.090128650731545,3.658333333333333,68057.0,0.402,3.6417910447761193,0.4477611940298507,0.4941079474065094,,0,0,,693.0,5.346527916166442,1807,13.941090829022745,0,1,1,0,0,1,1,6.5,34.6,0.2028999546080301,0.2192556592663185,0.3783693013546688,0.1994750847709825,0.7381565482929001,0.1083596737093996,0.0418052437903685,0.0904391790237323,11.9,64763.0,12986518.0,498.694107,True,True,7.5,14.3,13.6,5.8
Pennsylvania,42,2024,13078751,1079,8.250023262924724,1867,14.275063421575958,788,6.025040158651233,3.641666666666667,70678.0,0.402,3.6417910447761193,0.4477611940298507,0.4941079474065094,,0,0,,503.0,3.845932994672045,1624,12.417087839656858,0,1,1,0,0,1,1,,24.3,0.2010758519678217,0.2188007096396284,0.3762865429581158,0.203836895434434,0.731765059217046,0.1084646385576115,0.0436524099281345,0.0943959404074594,11.6,,,,True,False,7.4,13.3,11.9,4.2
Rhode Island,44,1999,1040402,35,3.3640842674273985,96,9.227202562086578,61,5.86311829465918,4.183333333333334,28432.0,0.166,1.0,0.0,0.3435088393240068,,0,0,,21.0,2.018450560456439,56,5.382534827883838,1,1,1,0,0,0,1,,,,,,,,,,,,,,,,,3.3,9.1,5.3,2.0
Rhode Island,44,2000,1048319,27,2.575551907386969,77,7.345092476622097,50,4.769540569235128,4.05,30350.0,0.153,1.0,0.0,0.3435088393240068,,0,0,,27.0,2.575551907386969,54,5.151103814773938,1,1,1,0,0,0,1,,,,,,,,,,,,,,,,,2.5,7.1,5.1,2.6
Rhode Island,44,2001,1057142,25,2.3648667823244183,89,8.418925745074928,64,6.05405896275051,4.491666666666666,31795.0,0.134,1.0,0.0,0.3435088393240068,,0,0,,20.0,1.8918934258595344,46,4.351354879476929,1,1,1,0,0,0,1,,,,,,,,,,,,,,,,,2.3,8.1,4.3,1.9
Rhode Island,44,2002,1065995,30,2.8142721119705065,87,8.161389124714468,57,5.347117012743961,5.05,32801.0,0.136,1.0,0.0,0.3435088393240068,,0,0,,25.0,2.345226759975422,55,5.159498871945929,1,1,1,0,0,0,1,,,,,,,,,,,,,,,,,2.8,7.9,5.1,2.3
Rhode Island,44,2003,1071342,12,1.1200905033126676,86,8.027315273740786,74,6.907224770428119,5.525,34256.0,0.074,1.0,0.0,0.3435088393240068,,0,0,,21.0,1.9601583807971683,35,3.2669306346619478,1,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,7.7,3.1,1.9
Rhode Island,44,2004,1074579,22,2.047313412973825,85,7.910074550126143,63,5.862761137152318,5.283333333333333,35867.0,0.116,1.0,0.0,0.3942248942412186,,0,0,,18.0,1.675074610614948,41,3.815447724178493,1,1,1,0,0,0,1,,,,,,,,,,,,,,,,,1.9,7.6,3.6,
Rhode Island,44,2005,1067916,19,1.779166151644886,71,6.648462987725627,52,4.869296836080741,5.141666666666667,36746.0,0.124,1.0,0.0,0.3942248942412186,,0,0,,19.0,1.779166151644886,39,3.6519726270605553,1,1,1,0,0,0,1,,,0.2304417201352915,0.2276561077837582,0.4030588548162964,0.1388433172646537,0.7959680349390776,0.0504927353836818,0.027143520651437,0.1069718966660299,11.9,,,,True,False,,6.3,3.6,
Rhode Island,44,2006,1063096,27,2.5397518192148216,90,8.465839397382739,63,5.926087578167918,5.258333333333334,38719.0,0.129,1.0,0.0,0.3942248942412186,,0,0,,19.0,1.7872327616696893,47,4.421049463077652,1,1,1,0,0,0,1,,,0.2275278996440584,0.2268158284858564,0.4063311309608916,0.1393251409091935,0.7905344390346686,0.0512860550693446,0.0273926343434647,0.1106739184419845,11.5,,,,True,False,2.4,8.2,4.2,
Rhode Island,44,2007,1057315,24,2.269900644557204,97,9.174181771752032,73,6.904281127194828,5.116666666666666,40608.0,0.072,1.0,0.0,0.3942248942412186,,0,0,,13.0,1.229529515801819,37,3.4994301603590223,1,1,1,0,0,0,1,,,0.2251932489371663,0.2265585941748674,0.4084430846058176,0.1398050722821486,0.7850404089604328,0.0523798489570279,0.0277665596345459,0.1139849524503104,11.9,,,,True,False,2.2,8.8,3.4,
Rhode Island,44,2008,1055003,23,2.180088587425818,110,10.42651063551478,87,8.246422048088963,7.625,41487.0,0.092,1.0,0.0,0.3580186249085422,,0,0,,19.0,1.8009427461343712,44,4.170604254205912,1,1,1,0,0,0,1,11.8,,0.2230238207853437,0.2275872201311276,0.4074917322509983,0.1418972268325303,0.7791864098964647,0.0531372896569962,0.0283733790330454,0.1177162529395651,12.1,,,,True,False,2.0,9.9,3.9,
Rhode Island,44,2009,1053646,40,3.796341465729476,118,11.199207323901955,78,7.402865858172479,11.166666666666666,40588.0,0.145,1.0,0.0,0.3580186249085422,,0,0,,14.0,1.3287195130053169,56,5.314878052021268,1,1,1,0,0,0,1,13.3,,0.2203895805612131,0.2284471255051506,0.4077375133583765,0.1434257805752596,0.7738120773011049,0.0536603375327197,0.0288028427004895,0.1213510040374091,12.0,,,,True,False,3.5,10.8,5.0,
Rhode Island,44,2010,1052567,30,2.850174858227552,129,12.255751890378471,99,9.40557703215092,11.616666666666667,42630.0,0.091,1.0,0.0,0.3580186249085422,,0,0,,17.0,1.6150990863289465,49,4.655285601771669,1,1,1,0,0,0,1,13.8,,0.2120471479440851,0.2355309836530643,0.4078042884021105,0.14461758000074,0.7682794112484451,0.0541577044268325,0.0294518097952576,0.1253075309381105,14.1,,,,True,False,2.8,12.3,4.6,
Rhode Island,44,2011,1051302,20,1.9024029251347376,101,9.607134771930426,81,7.704731846795688,11.1,44095.0,0.1,1.0,0.0,0.3580186249085422,,0,0,,12.0,1.141441755080843,33,3.1389648264723173,1,1,1,0,0,0,1,12.8,,0.209305945338533,0.2381125023608431,0.4066202312155186,0.1459613210851051,0.7617441861568701,0.0550249656194804,0.0307578709798044,0.1293390873051652,14.7,,,,True,False,1.7,8.9,3.0,
Rhode Island,44,2012,1050292,26,2.4755020508582373,105,9.997219820773651,79,7.521717769915414,10.3,45298.0,0.109,1.0,0.0,0.3598325402111788,,0,0,,15.0,1.4281742601105216,42,3.9988879283094607,1,1,1,0,0,0,1,12.8,,0.2062399667747939,0.2403764006216451,0.4025408179810567,0.1508428146225042,0.7559568792959745,0.0552302675558328,0.0316227346127186,0.1336603386429816,14.2,,,,True,False,2.5,9.5,4.1,
Rhode Island,44,2013,1051511,34,3.233442160852336,133,12.648464923334137,99,9.4150227624818,9.483333333333333,45104.0,0.09,1.0,0.0,0.3598325402111788,,0,0,,18.0,1.7118223204512362,56,5.325669441403846,1,1,1,0,0,0,1,13.9,,0.2035919517079731,0.2416165204377673,0.400380634283055,0.1544108935712045,0.7505148893781615,0.05604309053049,0.0321946845787195,0.1373268971766148,14.7,,,,True,False,3.2,12.2,5.3,
Rhode Island,44,2014,1055173,20,1.8954237835880945,114,10.803915566452137,94,8.908491782864042,7.766666666666667,46630.0,0.1,1.0,0.0,0.3598325402111788,,0,0,,13.0,1.2320254593322613,34,3.22222043209976,1,1,1,0,0,0,1,8.6,,0.2011457133765682,0.2431804579065397,0.3979369961815868,0.1577368325353051,0.7444769379962421,0.0568841293411721,0.03301336444633,0.1412926541002485,14.8,,,,True,False,1.7,10.1,3.0,
Rhode Island,44,2015,1056298,40,3.7868101615263874,127,12.02312226284628,87,8.236312101319893,6.016666666666667,48049.0,0.151,1.0,0.0,0.3598325402111788,,0,0,,10.0,0.9467025403815968,51,4.828182955946144,1,1,1,0,0,0,1,6.7,,0.1994129149247442,0.2435181546590408,0.3964642327887014,0.1606046976275134,0.7379990814959306,0.0576953123150563,0.0339013223617864,0.1457277724382495,14.1,,,,True,False,3.5,11.2,4.7,
Rhode Island,44,2016,1056426,35,3.3130574219112368,128,12.116324285846808,93,8.803266863935571,5.241666666666666,48515.0,0.139,1.0,0.0,0.4168929590734018,,0,0,,13.0,1.2305641852813165,49,4.638280390675731,1,1,1,0,0,0,1,5.1,,0.197755424548388,0.2439414442120802,0.394145367487722,0.1641577637518097,0.7317334897849106,0.0585359160460648,0.0345344777009188,0.1500222375729818,13.3,,,,True,False,2.8,11.2,4.1,
Rhode Island,44,2017,1059639,33,3.114268161137897,129,12.173957357175416,96,9.05968919603752,4.4750000000000005,50414.0,0.139,1.0,0.0,0.4168929590734018,,0,0,,10.0,0.9437176245872416,43,4.057985785725139,1,1,1,0,0,0,1,5.4,,0.1959423041036381,0.2433840782136135,0.3925789520050243,0.168094665677724,0.7265213754638037,0.0593062435053278,0.034492688550337,0.1541177997353347,12.3,,,,True,False,2.9,11.8,3.9,
Rhode Island,44,2018,1057315,23,2.175321451033987,106,10.025394513460984,83,7.850073062426997,4.05,52132.0,0.139,1.0,0.0,0.4168929590734018,,0,0,,13.0,1.229529515801819,37,3.4994301603590223,1,1,1,1,0,0,1,4.8,,0.1946371825412199,0.2435681436132164,0.389884785507145,0.1719098883384185,0.7194192123686675,0.0603324051037195,0.0352087855184841,0.159087279726577,12.8,,,,True,False,2.0,9.5,3.3,
